PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %
Palghar,22,ST,Maharashtra,Rajendra Dhedya Gavit,Shiv Sena,"17,27,531","12,01,941",0.713,88883,0.074
Pali,15,GEN,Rajasthan,P. P. Chaudhary,Bharatiya Janta Party,"21,05,101","13,59,799",0.653,"4,81,597",0.354
Panchmahal,18,GEN,Gujarat,Ratansinh Magansinh Rathod,Bharatiya Janta Party,"16,96,054","10,83,676",0.651,"4,28,541",0.395
Parbhani,17,GEN,Maharashtra,Jadhav Sanjay (BANDU) HARIBHAU,Shiv Sena,"19,02,298","12,52,782",0.661,42199,0.034
Paschim Champaran,2,GEN,Bihar [2000 Onwards],Dr. Sanjay Jaiswal,Bharatiya Janta Party,"16,06,271","10,12,936",0.659,"2,93,906",0.29
Pataliputra,31,GEN,Bihar [2000 Onwards],Ram Kripal Yadav,Bharatiya Janta Party,"19,09,112","10,77,749",0.568,39321,0.036
Patan,3,GEN,Gujarat,Dabhi Bharatsinhji Shankarji,Bharatiya Janta Party,"16,89,822","11,26,256",0.675,"1,93,879",0.172
Pathanamthitta,17,GEN,Kerala,Anto Antony,Indian National Congress,"13,32,683","10,26,553",0.773,44243,0.043
Patiala,13,GEN,Punjab,Preneet Kaur,Indian National Congress,"16,91,510","11,77,903",0.703,"1,62,718",0.138
Patna Sahib,30,GEN,Bihar [2000 Onwards],Ravi Shankar Prasad,Bharatiya Janta Party,"21,36,800","9,82,285",0.462,"2,84,657",0.29
Peddapalle,2,SC,Telangana,Venkatesh Netha Borlakunta,Telangana Rashtra Samithi,"13,68,475","9,70,051",0.715,95180,0.098
Perambalur,25,GEN,Tamil Nadu,"Dr.Paarivendhar, T. R",Dravida Munetra Kazhagam,"13,76,502","11,02,767",0.809,"4,03,518",0.366
Phulpur,51,GEN,Uttar Pradesh [2000 Onwards],Keshari Devi Patel,Bharatiya Janta Party,"19,50,247","9,78,236",0.506,"1,71,968",0.176
Pilibhit,26,GEN,Uttar Pradesh [2000 Onwards],Feroze Varun Gandhi,Bharatiya Janta Party,"17,30,628","11,86,589",0.691,"2,55,627",0.215
